iso3;year;SSP1;SSP2;SSP3;SSP4;SSP5
SLB;2055;14284,52008;9695,404021;7037,240307;6536,506653;17830,5392
SLB;2060;16381,37289;10956,06352;7382,884809;7035,73387;21036,39586
SLB;2065;18836,49332;12351,89153;7734,665794;7575,278401;24827,25009
SLB;2070;21605,89068;13890,37847;8098,128667;8152,251651;29153,03359
SLB;2075;24546,3092;15572,17057;8466,793062;8754,66661;33814,3899
SLB;2080;27450,18664;17434,34903;8851,497092;9391,891372;38946,70719
SLB;2085;30250,59767;19848,37524;9261,719389;10075,10921;44934,68639
SLB;2090;33010,77011;22757,10583;9695,777265;10805,25342;52126,54497
SLB;2095;36061,84581;25968,86437;10156,73668;11588,49043;60649,68657
SLB;2100;39669,01233;29205,79878;10650,4981;12433,49525;70555,3893
SLE;1970;979,468424;979,468424;979,468424;979,468424;979,468424
SLE;1975;973,5118526;973,5118526;973,5118526;973,5118526;973,5118526
SLE;1980;1024,459054;1024,459054;1024,459054;1024,459054;1024,459054
SLE;1985;1008,89404;1008,89404;1008,89404;1008,89404;1008,89404
SLE;1990;1043,128865;1043,128865;1043,128865;1043,128865;1043,128865
SLE;1995;873,388086;873,388086;873,388086;873,388086;873,388086
SLE;2000;527,5797296;527,5797296;527,5797296;527,5797296;527,5797296
SLE;2005;744,2299056;744,2299056;744,2299056;744,2299056;744,2299056
SLE;2010;871,4426006;871,4426006;871,4426006;871,4426006;871,4426006
SLE;2015;1172,70225;1119,42113;1092,326866;1089,393758;1173,764481
SLE;2020;1469,09823;1310,313347;1216,859298;1218,303847;1487,895923
SLE;2025;1814,102652;1495,914184;1291,630792;1310,749432;1888,058854
SLE;2030;2208,073704;1683,127304;1328,797252;1384,081177;2395,85534
SLE;2035;2673,075794;1882,492985;1346,805264;1452,488802;3047,717463
SLE;2040;3193,574701;2118,16916;1359,703912;1528,313346;3833,313275
SLE;2045;3831,492821;2408,293865;1373,366795;1615,780173;4838,484208
SLE;2050;4653,31215;2769,262428;1391,839244;1719,965376;6170,806304
SLE;2055;5735,135657;3205,502905;1417,159465;1844,394455;7967,418961
SLE;2060;7098,589648;3724,265993;1450,271134;1992,613281;10302,11195
SLE;2065;8734,85431;4335,949266;1489,748824;2163,848526;13197,45932
SLE;2070;10609,4773;5047,929853;1533,834383;2355,849092;16616,34014
SLE;2075;12664,76343;5866,292779;1581,122174;2566,419838;20463,27161
SLE;2080;14845,21341;6844,030273;1630,43159;2794,303068;24632,21591
SLE;2085;17099,29996;8016,248973;1683,366136;3043,231684;29022,42188
SLE;2090;19396,84552;9397,708893;1740,660367;3316,471743;33570,38566
SLE;2095;21720,99143;10972,4055;1801,675691;3614,979648;38637,96165
